contact_id,account_id,first_name,last_name,email,title,created_date
CON000001,ACC00001,Maya,Moreau,maya.moreau1@kw.com,Broker,2024-07-17
CON000002,ACC00002,Morgan,Bergstrom,morgan.bergstrom2@gmail.com,Team Lead,2026-05-17
CON000003,ACC00003,Riley,Vasquez,riley.vasquez3@gmail.com,Team Lead,2023-11-23
CON000004,ACC00003,Riley,Okonkwo,riley.okonkwo4@compass.com,Broker,2023-11-23
CON000005,ACC00004,Tessa,Bautista,tessa.bautista5@realtyco.com,Marketing Director,2026-05-21
CON000006,ACC00005,Grant,Osei,grant.osei6@outlook.com,Owner,2025-01-10
CON000007,ACC00006,Grant,Lindqvist,grant.lindqvist7@compass.com,Team Lead,2025-01-17
CON000008,ACC00007,Morgan,Ahmed,morgan.ahmed8@kw.com,Owner,2023-12-01
CON000009,ACC00007,Devin,Ahmed,devin.ahmed9@gmail.com,Agent,2023-12-01
CON000010,ACC00008,Naomi,Castellanos,naomi.castellanos10@realtyco.com,Broker,2024-10-08
CON000011,ACC00009,Noel,Rinaldi,noel.rinaldi11@kw.com,Agent,2023-10-13
CON000012,ACC00010,Bianca,Osei,bianca.osei12@realtyco.com,Broker,2023-10-11
CON000013,ACC00011,Riley,Vasquez,riley.vasquez13@outlook.com,Broker,2025-02-20
CON000014,ACC00012,Noel,Thornton,noel.thornton14@realtyco.com,Managing Broker,2023-11-20
CON000015,ACC00013,Camille,Osei,camille.osei15@compass.com,Owner,2025-11-05
CON000016,ACC00013,Priya,Castellanos,priya.castellanos16@outlook.com,Managing Broker,2025-11-05
CON000017,ACC00014,Tessa,Kearney,tessa.kearney17@kw.com,Marketing Director,2025-01-13
CON000018,ACC00015,Camille,Kearney,camille.kearney18@compass.com,Broker,2023-09-20
CON000019,ACC00015,Noel,Kaplan,noel.kaplan19@compass.com,Owner,2023-09-20
CON000020,ACC00015,Tessa,Bautista,tessa.bautista20@compass.com,Owner,2023-09-20
CON000021,ACC00016,Rowan,Kaplan,rowan.kaplan21@outlook.com,Team Lead,2025-03-28
CON000022,ACC00016,Avery,Delgado,avery.delgado22@gmail.com,Team Lead,2025-03-28
CON000023,ACC00016,Sasha,Halvorsen,sasha.halvorsen23@outlook.com,Agent,2025-03-28
CON000024,ACC00017,Devin,Thornton,devin.thornton24@outlook.com,Team Lead,2024-04-16
CON000025,ACC00018,Casey,Kearney,casey.kearney25@kw.com,Broker,2024-07-24
CON000026,ACC00018,Skyler,Bergstrom,skyler.bergstrom26@gmail.com,Owner,2024-07-24
CON000027,ACC00019,Casey,Moreau,casey.moreau27@outlook.com,Managing Broker,2025-06-01
CON000028,ACC00020,Felix,Whitfield,felix.whitfield28@kw.com,Team Lead,2024-01-25
CON000029,ACC00021,Jordan,Moreau,jordan.moreau29@compass.com,Agent,2026-01-12
CON000030,ACC00022,Camille,Nakamura,camille.nakamura30@gmail.com,Broker,2023-01-05
CON000031,ACC00023,Casey,Kaplan,casey.kaplan31@outlook.com,Agent,2026-04-01
CON000032,ACC00023,Avery,Osei,avery.osei32@outlook.com,Broker,2026-04-01
CON000033,ACC00024,Camille,Castellanos,camille.castellanos33@compass.com,Owner,2023-05-20
CON000034,ACC00025,Camille,Osei,camille.osei34@realtyco.com,Managing Broker,2024-06-18
CON000035,ACC00025,Naomi,Whitfield,naomi.whitfield35@realtyco.com,Agent,2024-06-18
CON000036,ACC00026,Casey,Okonkwo,casey.okonkwo36@gmail.com,Marketing Director,2023-05-29
CON000037,ACC00027,Owen,Nakamura,owen.nakamura37@gmail.com,Managing Broker,2024-05-15
