lead_id,first_name,last_name,email,company,lead_source,lead_status,is_mql,created_date,converted_account_id,converted_date
LEAD000001,Maya,Petrova,maya.petrova1@outlook.com,Beacon Properties,Webinar,Qualified,false,2025-05-06,ACC00157,2025-05-22
LEAD000002,Jordan,Kaplan,jordan.kaplan2@gmail.com,Blackwood Group,Organic Search,New,false,2023-05-01,,
LEAD000003,Maya,Vasquez,maya.vasquez3@gmail.com,Foxglove & Co.,Webinar,Working,false,2026-04-01,,
LEAD000004,Sasha,Lindqvist,sasha.lindqvist4@kw.com,Cornerstone Group,Social,Working,true,2024-03-05,,
LEAD000005,Jordan,Ahmed,jordan.ahmed5@realtyco.com,Beacon Properties,Referral,Disqualified,false,2025-03-08,,
LEAD000006,Priya,Osei,priya.osei6@kw.com,Harbor Partners,,Qualified,false,2024-10-06,,
LEAD000007,Priya,Castellanos,priya.castellanos7@outlook.com,Stonebridge Properties,Referral,Disqualified,false,2023-03-28,,
LEAD000008,Tessa,Okonkwo,tessa.okonkwo8@gmail.com,Beacon Real Estate,Cold Outreach,Qualified,true,2023-01-19,ACC00679,2023-01-22
LEAD000009,Casey,Vasquez,casey.vasquez9@compass.com,Meridian Real Estate,Conference,Disqualified,false,2025-10-31,,
LEAD000010,Skyler,Osei,skyler.osei10@realtyco.com,Cypress Partners,Social,Nurturing,true,2023-03-22,,
LEAD000011,Priya,Whitfield,priya.whitfield11@compass.com,Meridian Properties,Organic Search,Disqualified,false,2025-04-14,,
LEAD000012,Priya,Bergstrom,priya.bergstrom12@compass.com,Blackwood Partners,Conference,Qualified,true,2025-07-09,ACC00627,2025-07-26
LEAD000013,Owen,Bergstrom,owen.bergstrom13@kw.com,Summit Partners,Webinar,Working,true,2023-03-25,,
LEAD000014,Riley,Ahmed,riley.ahmed14@realtyco.com,Meridian & Co.,,Qualified,true,2026-01-01,,
LEAD000015,Bianca,Delgado,bianca.delgado15@kw.com,Cypress & Co.,Conference,Qualified,true,2025-12-29,,
LEAD000016,Sasha,Delgado,sasha.delgado16@gmail.com,Harbor Properties,,Qualified,false,2023-01-30,,
LEAD000017,Felix,Ahmed,felix.ahmed17@kw.com,Cornerstone & Co.,Conference,Working,true,2023-12-13,,
LEAD000018,Morgan,Lindqvist,morgan.lindqvist18@gmail.com,Summit Properties,,New,false,2024-09-25,,
LEAD000019,Riley,Ahmed,riley.ahmed19@compass.com,Beacon Real Estate,Organic Search,Nurturing,true,2024-01-02,,
LEAD000020,Grant,Ahmed,grant.ahmed20@kw.com,Cornerstone Real Estate,Cold Outreach,Working,false,2023-06-20,,
LEAD000021,Felix,Whitfield,felix.whitfield21@compass.com,Cornerstone Partners,Organic Search,Nurturing,false,2023-06-26,,
LEAD000022,Naomi,Thornton,naomi.thornton22@compass.com,Ironwood Properties,Cold Outreach,Qualified,true,2023-03-03,ACC00033,2023-04-26
LEAD000023,Theo,Halvorsen,theo.halvorsen23@kw.com,Cypress Partners,Organic Search,Qualified,true,2026-04-15,,
LEAD000024,Naomi,Thornton,naomi.thornton24@compass.com,Lakeshore Realty,,New,false,2024-02-12,,
LEAD000025,Grant,Thornton,grant.thornton25@realtyco.com,Beacon Realty,Partner,New,false,2024-11-24,,
LEAD000026,Casey,Moreau,casey.moreau26@compass.com,Stonebridge Group,Organic Search,Nurturing,true,2026-05-02,,
LEAD000027,Jordan,Vasquez,jordan.vasquez27@gmail.com,Harbor Realty,Conference,Working,false,2024-05-18,,
LEAD000028,Grant,Castellanos,grant.castellanos28@kw.com,Harbor Real Estate,Partner,Working,true,2024-06-12,,
LEAD000029,Camille,Lindqvist,camille.lindqvist29@realtyco.com,Ridgeline & Co.,,Disqualified,false,2024-09-06,,
LEAD000030,Riley,Castellanos,riley.castellanos30@outlook.com,Meridian Properties,organic search,Qualified,true,2025-12-11,ACC00228,2025-12-21
LEAD000031,Riley,Bergstrom,riley.bergstrom31@gmail.com,Stonebridge Real Estate,Conference,Qualified,false,2023-04-11,,
